nodes,avgmsg,se
1600,3.243125,0.018
1600,3.283750,0.022625
1600,3.248750,0.012375
250,3.232000,0.08348
250,3.252000,0.06348
250,3.320000,0.00452
250,3.348000,0.03252
250,3.300000,0.01548
250,3.272000,0.04348
250,3.700000,0.38452
250,3.360000,0.04452
250,3.460000,0.14452
250,3.204000,0.11148
250,3.204000,0.11148
250,3.420000,0.10452
250,3.348000,0.03252
250,3.308000,0.00748
250,3.460000,0.14452
250,3.376000,0.06052
250,3.264000,0.05148
250,3.300000,0.01548
250,3.284000,0.03148
250,3.332000,0.01652
250,3.308000,0.00748
250,3.368000,0.05252
250,3.260000,0.05548
250,3.196000,0.11948
250,3.336000,0.02052
250,3.240000,0.07548
250,3.316000,0.00052
250,3.296000,0.01948
250,3.336000,0.02052
250,3.320000,0.00452
250,3.320000,0.00452
250,3.244000,0.07148
250,3.188000,0.12748
250,3.228000,0.08748
250,3.372000,0.05652
250,3.348000,0.03252
250,3.264000,0.05148
250,3.288000,0.02748
250,3.368000,0.05252
250,3.360000,0.04452
250,3.340000,0.02452
250,3.308000,0.00748
250,3.564000,0.24852
250,3.312000,0.00348
250,3.340000,0.02452
250,3.324000,0.00852
250,3.320000,0.00452
250,3.368000,0.05252
250,3.304000,0.01148
250,3.264000,0.05148
250,3.204000,0.11148
250,3.248000,0.06748
250,3.272000,0.04348
250,3.376000,0.06052
250,3.236000,0.07948
250,3.324000,0.00852
250,3.268000,0.04748
250,3.268000,0.04748
250,3.244000,0.07148
250,3.340000,0.02452
250,3.284000,0.03148
250,3.244000,0.07148
250,3.520000,0.20452
250,3.328000,0.01252
250,3.340000,0.02452
250,3.304000,0.01148
250,3.224000,0.09148
250,3.284000,0.03148
250,3.308000,0.00748
250,3.200000,0.11548
250,3.264000,0.05148
250,3.200000,0.11548
250,3.300000,0.01548
250,3.248000,0.06748
250,3.428000,0.11252
250,3.268000,0.04748
250,3.300000,0.01548
250,3.392000,0.07652
250,3.268000,0.04748
250,3.348000,0.03252
250,3.372000,0.05652
250,3.248000,0.06748
250,3.296000,0.01948
250,3.352000,0.03652
250,3.380000,0.06452
250,3.300000,0.01548
250,3.240000,0.07548
250,3.220000,0.09548
250,3.280000,0.03548
250,3.332000,0.01652
250,3.372000,0.05652
250,3.328000,0.01252
250,3.276000,0.03948
250,3.452000,0.13652
250,3.244000,0.07148
250,3.348000,0.03252
250,3.388000,0.07252
250,3.348000,0.03252
250,3.408000,0.09252
250,3.388000,0.07252
400,3.337500,0.06495
400,3.265000,0.00755
400,3.262500,0.01005
400,3.182500,0.09005
400,3.312500,0.03995
400,3.252500,0.02005
400,3.275000,0.00245
400,3.320000,0.04745
400,3.277500,0.00495
400,3.215000,0.05755
400,3.325000,0.05245
400,3.225000,0.04755
400,3.267500,0.00505
400,3.197500,0.07505
400,3.385000,0.11245
400,3.230000,0.04255
400,3.215000,0.05755
400,3.295000,0.02245
400,3.300000,0.02745
400,3.335000,0.06245
400,3.260000,0.01255
400,3.302500,0.02995
400,3.202500,0.07005
400,3.242500,0.03005
400,3.327500,0.05495
400,3.327500,0.05495
400,3.225000,0.04755
400,3.305000,0.03245
400,3.295000,0.02245
400,3.300000,0.02745
400,3.270000,0.00255
400,3.197500,0.07505
400,3.202500,0.07005
400,3.212500,0.06005
400,3.240000,0.03255
400,3.200000,0.07255
400,3.285000,0.01245
400,3.282500,0.00995
400,3.397500,0.12495
400,3.235000,0.03755
400,3.332500,0.05995
400,3.237500,0.03505
400,3.207500,0.06505
400,3.280000,0.00745
400,3.310000,0.03745
400,3.247500,0.02505
400,3.215000,0.05755
400,3.252500,0.02005
400,3.250000,0.02255
